title,Predicted_result,rotten_rate,predicted_income,,
Avengers: Endgame,2,Top Hit,2425.463994,2688.719309,2688719309
The Lion King,0,Flop,515.1036708,0,
Once Upon a Time ... in Hollywood,2,Top Hit,40.70554742,0,
It Chapter Two,0,Flop,3193.933356,0,
Spider-Man: Far From Home,0,Flop,557.5939719,0,
Star Wars: The Rise of Skywalker,0,Flop,515.427766,0,
A Beautiful Day in the Neighborhood,0,Flop,10061.01503,0,
Captain Marvel,0,Flop,511.4872374,1127.259182,1127259182
Aladdin,2,Top Hit,160.0078477,128.82,128820000
Us,2,Top Hit,562.753136,174.87,174870000
Toy Story 4,0,Flop,515.2360368,0,
Honey Boy,0,Flop,3229.352023,0,
Terminator: Dark Fate,0,Flop,516.5346016,0,
John Wick: Chapter 3 - Parabellum,2,Top Hit,1148.702116,185.579164,185579164
Hellboy,0,Flop,511.498035,21.903748,21903748
Joker,0,Flop,514.158977,0,
Good Boys (II),0,Flop,511.4892935,273.339556,273339556
Frozen II,0,Flop,511.4900575,0,
Dumbo,0,Flop,511.4903803,349.00024,349000240
Shazam!,2,Top Hit,738.3598442,362.037385,362037385
